identifier,grouping,county,keyhealthindicator,date,cases_rate
Bomet_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Bomet,Measles doses in stock at the beginning of the Month,06/01/2021,8637
Bomet_Measles doses received within the Month_2021/June,2-Immunization,Bomet,Measles doses received within the Month,06/01/2021,9620
Bomet_Measles doses remaining  at the end Month_2021/June,2-Immunization,Bomet,Measles doses remaining  at the end Month,06/01/2021,9305
Bomet_Measles_2021/June,3-Cases Reported,Bomet,Measles,06/01/2021,5
Bungoma_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Bungoma,Measles-Rubella 1 doses Administered,06/01/2021,4715
Bungoma_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Bungoma,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,2863
Bungoma_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Bungoma,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,451
Bungoma_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Bungoma,Measles doses in stock at the beginning of the Month,06/01/2021,13465
Bungoma_Measles doses received within the Month_2021/June,2-Immunization,Bungoma,Measles doses received within the Month,06/01/2021,15150
Bungoma_Measles doses remaining  at the end Month_2021/June,2-Immunization,Bungoma,Measles doses remaining  at the end Month,06/01/2021,14161
Bungoma_Measles_2021/June,3-Cases Reported,Bungoma,Measles,06/01/2021,14
Busia_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Busia,Measles-Rubella 1 doses Administered,06/01/2021,2481
Busia_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Busia,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,2334
Busia_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Busia,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,621
Busia_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Busia,Measles doses in stock at the beginning of the Month,06/01/2021,6070
Busia_Measles doses received within the Month_2021/June,2-Immunization,Busia,Measles doses received within the Month,06/01/2021,10940
Busia_Measles doses remaining  at the end Month_2021/June,2-Immunization,Busia,Measles doses remaining  at the end Month,06/01/2021,8760
Busia_Measles_2021/June,3-Cases Reported,Busia,Measles,06/01/2021,9
Elgeyo/Marakwet_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 1 doses Administered,06/01/2021,1377
Elgeyo/Marakwet_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1123
Elgeyo/Marakwet_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,346
Elgeyo/Marakwet_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Elgeyo/Marakwet,Measles doses in stock at the beginning of the Month,06/01/2021,7780
Elgeyo/Marakwet_Measles doses received within the Month_2021/June,2-Immunization,Elgeyo/Marakwet,Measles doses received within the Month,06/01/2021,7060
Elgeyo/Marakwet_Measles doses remaining  at the end Month_2021/June,2-Immunization,Elgeyo/Marakwet,Measles doses remaining  at the end Month,06/01/2021,7763
Elgeyo/Marakwet_Measles_2021/June,3-Cases Reported,Elgeyo/Marakwet,Measles,06/01/2021,0
Embu_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Embu,Measles-Rubella 1 doses Administered,06/01/2021,1215
Embu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Embu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1113
Embu_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Embu,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,4
Embu_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Embu,Measles doses in stock at the beginning of the Month,06/01/2021,5093
Embu_Measles doses received within the Month_2021/June,2-Immunization,Embu,Measles doses received within the Month,06/01/2021,5040
Embu_Measles doses remaining  at the end Month_2021/June,2-Immunization,Embu,Measles doses remaining  at the end Month,06/01/2021,5959
Embu_Measles_2021/June,3-Cases Reported,Embu,Measles,06/01/2021,0
Garissa_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Garissa,Measles-Rubella 1 doses Administered,06/01/2021,3037
Garissa_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Garissa,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1684
Garissa_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Garissa,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,364
Garissa_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Garissa,Measles doses in stock at the beginning of the Month,06/01/2021,7215
Garissa_Measles doses received within the Month_2021/June,2-Immunization,Garissa,Measles doses received within the Month,06/01/2021,9010
Garissa_Measles doses remaining  at the end Month_2021/June,2-Immunization,Garissa,Measles doses remaining  at the end Month,06/01/2021,8723
Garissa_Measles_2021/June,3-Cases Reported,Garissa,Measles,06/01/2021,0
Homa Bay_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Homa Bay,Measles-Rubella 1 doses Administered,06/01/2021,2301
Homa Bay_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Homa Bay,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1271
Homa Bay_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Homa Bay,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,308
Homa Bay_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Homa Bay,Measles doses in stock at the beginning of the Month,06/01/2021,12405
Homa Bay_Measles doses received within the Month_2021/June,2-Immunization,Homa Bay,Measles doses received within the Month,06/01/2021,10860
Homa Bay_Measles doses remaining  at the end Month_2021/June,2-Immunization,Homa Bay,Measles doses remaining  at the end Month,06/01/2021,13121
Homa Bay_Measles_2021/June,3-Cases Reported,Homa Bay,Measles,06/01/2021,8
Isiolo_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Isiolo,Measles-Rubella 1 doses Administered,06/01/2021,473
Isiolo_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Isiolo,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,263
Isiolo_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Isiolo,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,14
Isiolo_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Isiolo,Measles doses in stock at the beginning of the Month,06/01/2021,3561
Isiolo_Measles doses received within the Month_2021/June,2-Immunization,Isiolo,Measles doses received within the Month,06/01/2021,2713
Isiolo_Measles doses remaining  at the end Month_2021/June,2-Immunization,Isiolo,Measles doses remaining  at the end Month,06/01/2021,4074
Isiolo_Measles_2021/June,3-Cases Reported,Isiolo,Measles,06/01/2021,1
Kajiado_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Kajiado,Measles-Rubella 1 doses Administered,06/01/2021,2628
Kajiado_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Kajiado,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,2134
Kajiado_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Kajiado,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,129
Kajiado_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Kajiado,Measles doses in stock at the beginning of the Month,06/01/2021,15862
Kajiado_Measles doses received within the Month_2021/June,2-Immunization,Kajiado,Measles doses received within the Month,06/01/2021,9790
Kajiado_Measles doses remaining  at the end Month_2021/June,2-Immunization,Kajiado,Measles doses remaining  at the end Month,06/01/2021,14271
Kajiado_Measles_2021/June,3-Cases Reported,Kajiado,Measles,06/01/2021,15
Kakamega_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Kakamega,Measles-Rubella 1 doses Administered,06/01/2021,4595
Kakamega_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Kakamega,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,4468
Kakamega_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Kakamega,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,137
Kakamega_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Kakamega,Measles doses in stock at the beginning of the Month,06/01/2021,14941
Kakamega_Measles doses received within the Month_2021/June,2-Immunization,Kakamega,Measles doses received within the Month,06/01/2021,25260
Kakamega_Measles doses remaining  at the end Month_2021/June,2-Immunization,Kakamega,Measles doses remaining  at the end Month,06/01/2021,18677
Kakamega_Measles_2021/June,3-Cases Reported,Kakamega,Measles,06/01/2021,2
Kericho_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Kericho,Measles-Rubella 1 doses Administered,06/01/2021,2076
Kericho_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Kericho,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1711
Kericho_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Kericho,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,27
Kericho_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Kericho,Measles doses in stock at the beginning of the Month,06/01/2021,8356
Kericho_Measles doses received within the Month_2021/June,2-Immunization,Kericho,Measles doses received within the Month,06/01/2021,8820
Kericho_Measles doses remaining  at the end Month_2021/June,2-Immunization,Kericho,Measles doses remaining  at the end Month,06/01/2021,8080
Kericho_Measles_2021/June,3-Cases Reported,Kericho,Measles,06/01/2021,125
Kiambu_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Kiambu,Measles-Rubella 1 doses Administered,06/01/2021,5615
Kiambu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Kiambu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,4631
Kiambu_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Kiambu,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,46
Kiambu_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Kiambu,Measles doses in stock at the beginning of the Month,06/01/2021,15750
Kiambu_Measles doses received within the Month_2021/June,2-Immunization,Kiambu,Measles doses received within the Month,06/01/2021,17771
Kiambu_Measles doses remaining  at the end Month_2021/June,2-Immunization,Kiambu,Measles doses remaining  at the end Month,06/01/2021,15742
Kiambu_Measles_2021/June,3-Cases Reported,Kiambu,Measles,06/01/2021,61
Kilifi_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Kilifi,Measles-Rubella 1 doses Administered,06/01/2021,3168
Kilifi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Kilifi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,2409
Kilifi_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Kilifi,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,97
Kilifi_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Kilifi,Measles doses in stock at the beginning of the Month,06/01/2021,13813
Kilifi_Measles doses received within the Month_2021/June,2-Immunization,Kilifi,Measles doses received within the Month,06/01/2021,13160
Kilifi_Measles doses remaining  at the end Month_2021/June,2-Immunization,Kilifi,Measles doses remaining  at the end Month,06/01/2021,16604
Kilifi_Measles_2021/June,3-Cases Reported,Kilifi,Measles,06/01/2021,4
Kirinyaga_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Kirinyaga,Measles-Rubella 1 doses Administered,06/01/2021,1066
Kirinyaga_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Kirinyaga,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1039
Kirinyaga_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Kirinyaga,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,18
Kirinyaga_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Kirinyaga,Measles doses in stock at the beginning of the Month,06/01/2021,6600
Kirinyaga_Measles doses received within the Month_2021/June,2-Immunization,Kirinyaga,Measles doses received within the Month,06/01/2021,5070
Kirinyaga_Measles doses remaining  at the end Month_2021/June,2-Immunization,Kirinyaga,Measles doses remaining  at the end Month,06/01/2021,7509
Kisumu_Measles_2021/June,3-Cases Reported,Kisumu,Measles,06/01/2021,68
Kirinyaga_Measles_2021/June,3-Cases Reported,Kirinyaga,Measles,06/01/2021,0
Kisii_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Kisii,Measles-Rubella 1 doses Administered,06/01/2021,2796
Kisii_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Kisii,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,2125
Kisii_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Kisii,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,53
Kisii_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Kisii,Measles doses in stock at the beginning of the Month,06/01/2021,9809
Kisii_Measles doses received within the Month_2021/June,2-Immunization,Kisii,Measles doses received within the Month,06/01/2021,12675
Kisii_Measles doses remaining  at the end Month_2021/June,2-Immunization,Kisii,Measles doses remaining  at the end Month,06/01/2021,10881
Kisii_Measles_2021/June,3-Cases Reported,Kisii,Measles,06/01/2021,48
Kisumu_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Kisumu,Measles-Rubella 1 doses Administered,06/01/2021,3217
Kisumu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Kisumu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1984
Kisumu_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Kisumu,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,768
Kisumu_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Kisumu,Measles doses in stock at the beginning of the Month,06/01/2021,14210
Kisumu_Measles doses received within the Month_2021/June,2-Immunization,Kisumu,Measles doses received within the Month,06/01/2021,13550
Kisumu_Measles doses remaining  at the end Month_2021/June,2-Immunization,Kisumu,Measles doses remaining  at the end Month,06/01/2021,15827
Kitui_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Kitui,Measles-Rubella 1 doses Administered,06/01/2021,2458
Kitui_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Kitui,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1625
Kitui_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Kitui,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,55
Kitui_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Kitui,Measles doses in stock at the beginning of the Month,06/01/2021,11514
Kitui_Measles doses received within the Month_2021/June,2-Immunization,Kitui,Measles doses received within the Month,06/01/2021,8915
Kitui_Measles doses remaining  at the end Month_2021/June,2-Immunization,Kitui,Measles doses remaining  at the end Month,06/01/2021,11362
Kitui_Measles_2021/June,3-Cases Reported,Kitui,Measles,06/01/2021,3
Kwale_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Kwale,Measles-Rubella 1 doses Administered,06/01/2021,2053
Kwale_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Kwale,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1667
Kwale_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Kwale,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,54
Kwale_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Kwale,Measles doses in stock at the beginning of the Month,06/01/2021,12769
Kwale_Measles doses received within the Month_2021/June,2-Immunization,Kwale,Measles doses received within the Month,06/01/2021,7520
Kwale_Measles doses remaining  at the end Month_2021/June,2-Immunization,Kwale,Measles doses remaining  at the end Month,06/01/2021,11390
Kwale_Measles_2021/June,3-Cases Reported,Kwale,Measles,06/01/2021,21
Laikipia_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Laikipia,Measles-Rubella 1 doses Administered,06/01/2021,1292
Laikipia_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Laikipia,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,983
Laikipia_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Laikipia,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,12
Laikipia_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Laikipia,Measles doses in stock at the beginning of the Month,06/01/2021,5350
Laikipia_Measles doses received within the Month_2021/June,2-Immunization,Laikipia,Measles doses received within the Month,06/01/2021,5270
Laikipia_Measles doses remaining  at the end Month_2021/June,2-Immunization,Laikipia,Measles doses remaining  at the end Month,06/01/2021,5390
Laikipia_Measles_2021/June,3-Cases Reported,Laikipia,Measles,06/01/2021,4
Lamu_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Lamu,Measles-Rubella 1 doses Administered,06/01/2021,279
Lamu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Lamu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,216
Lamu_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Lamu,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,7
Lamu_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Lamu,Measles doses in stock at the beginning of the Month,06/01/2021,1980
Lamu_Measles doses received within the Month_2021/June,2-Immunization,Lamu,Measles doses received within the Month,06/01/2021,520
Lamu_Measles doses remaining  at the end Month_2021/June,2-Immunization,Lamu,Measles doses remaining  at the end Month,06/01/2021,1502
Lamu_Measles_2021/June,3-Cases Reported,Lamu,Measles,06/01/2021,2
Machakos_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Machakos,Measles-Rubella 1 doses Administered,06/01/2021,2697
Machakos_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Machakos,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,2238
Machakos_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Machakos,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,7
Machakos_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Machakos,Measles doses in stock at the beginning of the Month,06/01/2021,9713
Machakos_Measles doses received within the Month_2021/June,2-Immunization,Machakos,Measles doses received within the Month,06/01/2021,10670
Machakos_Measles doses remaining  at the end Month_2021/June,2-Immunization,Machakos,Measles doses remaining  at the end Month,06/01/2021,8375
Machakos_Measles_2021/June,3-Cases Reported,Machakos,Measles,06/01/2021,2
Siaya_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Siaya,Measles-Rubella 1 doses Administered,06/01/2021,2505
Siaya_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Siaya,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1322
Siaya_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Siaya,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,31
Siaya_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Siaya,Measles doses in stock at the beginning of the Month,06/01/2021,11971
Siaya_Measles doses received within the Month_2021/June,2-Immunization,Siaya,Measles doses received within the Month,06/01/2021,8804
Siaya_Measles doses remaining  at the end Month_2021/June,2-Immunization,Siaya,Measles doses remaining  at the end Month,06/01/2021,12310
Siaya_Measles_2021/June,3-Cases Reported,Siaya,Measles,06/01/2021,9
Samburu_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Samburu,Measles-Rubella 1 doses Administered,06/01/2021,748
Samburu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Samburu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,309
Samburu_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Samburu,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,19
Samburu_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Samburu,Measles doses in stock at the beginning of the Month,06/01/2021,3970
Samburu_Measles doses received within the Month_2021/June,2-Immunization,Samburu,Measles doses received within the Month,06/01/2021,2440
Samburu_Measles doses remaining  at the end Month_2021/June,2-Immunization,Samburu,Measles doses remaining  at the end Month,06/01/2021,4241
Samburu_Measles_2021/June,3-Cases Reported,Samburu,Measles,06/01/2021,0
Nyeri_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Nyeri,Measles-Rubella 1 doses Administered,06/01/2021,1290
Nyeri_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Nyeri,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1164
Nyeri_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Nyeri,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,18
Nyeri_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Nyeri,Measles doses in stock at the beginning of the Month,06/01/2021,9230
Nyeri_Measles doses received within the Month_2021/June,2-Immunization,Nyeri,Measles doses received within the Month,06/01/2021,6200
Nyeri_Measles doses remaining  at the end Month_2021/June,2-Immunization,Nyeri,Measles doses remaining  at the end Month,06/01/2021,9860
Nyeri_Measles_2021/June,3-Cases Reported,Nyeri,Measles,06/01/2021,0
Nyandarua_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Nyandarua,Measles-Rubella 1 doses Administered,06/01/2021,1231
Nyandarua_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Nyandarua,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1175
Nyandarua_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Nyandarua,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,9
Nyandarua_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Nyandarua,Measles doses in stock at the beginning of the Month,06/01/2021,4603
Nyandarua_Measles doses received within the Month_2021/June,2-Immunization,Nyandarua,Measles doses received within the Month,06/01/2021,7341
Nyandarua_Measles doses remaining  at the end Month_2021/June,2-Immunization,Nyandarua,Measles doses remaining  at the end Month,06/01/2021,4490
Nyandarua_Measles_2021/June,3-Cases Reported,Nyandarua,Measles,06/01/2021,14
Nyamira_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Nyamira,Measles-Rubella 1 doses Administered,06/01/2021,1718
Nyamira_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Nyamira,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,991
Nyamira_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Nyamira,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,61
Nyamira_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Nyamira,Measles doses in stock at the beginning of the Month,06/01/2021,7200
Nyamira_Measles doses received within the Month_2021/June,2-Immunization,Nyamira,Measles doses received within the Month,06/01/2021,6320
Nyamira_Measles doses remaining  at the end Month_2021/June,2-Immunization,Nyamira,Measles doses remaining  at the end Month,06/01/2021,7700
Nyamira_Measles_2021/June,3-Cases Reported,Nyamira,Measles,06/01/2021,2
Narok_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Narok,Measles-Rubella 1 doses Administered,06/01/2021,3225
Narok_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Narok,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,8955
Narok_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Narok,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,111
Narok_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Narok,Measles doses in stock at the beginning of the Month,06/01/2021,12194
Narok_Measles doses received within the Month_2021/June,2-Immunization,Narok,Measles doses received within the Month,06/01/2021,10070
Narok_Measles doses remaining  at the end Month_2021/June,2-Immunization,Narok,Measles doses remaining  at the end Month,06/01/2021,13194
Narok_Measles_2021/June,3-Cases Reported,Narok,Measles,06/01/2021,82
Nandi_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Nandi,Measles-Rubella 1 doses Administered,06/01/2021,1843
Nandi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Nandi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,1462
Nandi_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Nandi,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,27
Nandi_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Nandi,Measles doses in stock at the beginning of the Month,06/01/2021,9990
Nandi_Measles doses received within the Month_2021/June,2-Immunization,Nandi,Measles doses received within the Month,06/01/2021,9050
Nandi_Measles doses remaining  at the end Month_2021/June,2-Immunization,Nandi,Measles doses remaining  at the end Month,06/01/2021,10025
Nandi_Measles_2021/June,3-Cases Reported,Nandi,Measles,06/01/2021,86
Nakuru_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Nakuru,Measles-Rubella 1 doses Administered,06/01/2021,5223
Nakuru_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Nakuru,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,4213
Nakuru_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Nakuru,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,171
Nakuru_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Nakuru,Measles doses in stock at the beginning of the Month,06/01/2021,16095
Nakuru_Measles doses received within the Month_2021/June,2-Immunization,Nakuru,Measles doses received within the Month,06/01/2021,22860
Nakuru_Measles doses remaining  at the end Month_2021/June,2-Immunization,Nakuru,Measles doses remaining  at the end Month,06/01/2021,14168
Nakuru_Measles_2021/June,3-Cases Reported,Nakuru,Measles,06/01/2021,25
Nairobi_Measles-Rubella 1 doses Administered_2021/June,2-Immunization,Nairobi,Measles-Rubella 1 doses Administered,06/01/2021,11398
Nairobi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2021/June,2-Immunization,Nairobi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),06/01/2021,9450
Nairobi_Measles-Rubella 2 Dose Administered >2 yrs_2021/June,2-Immunization,Nairobi,Measles-Rubella 2 Dose Administered >2 yrs,06/01/2021,811
Nairobi_Measles doses in stock at the beginning of the Month_2021/June,2-Immunization,Nairobi,Measles doses in stock at the beginning of the Month,06/01/2021,32874
